------------ Data File Created By ActiGraph GT3XPlus ActiLife v6.11.5 Firmware v2.2.1 date format M/d/yyyy Filter Normal Multiple Incline Limb: Waist -----------
Serial Number: CLE1A28120247
Start Time 15:30:00
Start Date 10/22/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:34:14
Download Date 10/30/2014
Current Memory Address: 0
Current Battery Voltage: 4.05     Mode = 61
--------------------------------------------------
62,199,102,1,0,0,40,20,0
0,97,12,0,0,0,55,5,0
0,56,88,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,32,28,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,32,28,0
0,9,0,0,0,0,16,44,0
0,0,9,0,0,0,0,60,0
0,0,58,0,0,0,7,53,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,10,50,0
0,0,11,0,0,0,35,25,0
0,17,8,0,0,0,19,41,0
0,0,336,0,0,0,19,41,0
0,0,0,0,0,0,41,19,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,13,5,0,0,0,29,31,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,56,4,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,23,37,0
0,20,0,0,0,0,53,7,0
0,0,0,0,0,0,0,60,0
0,24,12,0,0,0,5,55,0
0,11,6,0,0,0,53,7,0
0,0,120,0,0,0,58,2,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,26,34,0
0,0,0,0,0,0,9,51,0
0,19,0,0,0,0,0,60,0
6,227,187,1,0,0,38,22,0
0,10,7,0,0,0,14,46,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,12,356,0,0,0,50,10,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,58,2,0
0,5,68,0,0,0,59,1,0
0,0,0,0,0,0,42,18,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,41,97,0,0,0,29,31,0
57,0,246,1,0,0,58,2,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
79,269,150,1,0,0,58,2,0
0,4,232,0,0,0,4,56,0
0,7,18,0,0,0,28,32,0
0,40,0,0,0,0,49,11,0
0,0,18,0,0,0,59,1,0
0,6,100,0,0,0,59,1,0
0,0,8,0,0,0,59,1,0
0,0,7,0,0,0,60,0,0
0,0,74,0,0,0,44,16,0
0,4,117,0,0,0,31,29,0
0,18,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,0,0,0,0,0,60,0,0
0,60,15,0,0,0,60,0,0
